category,high_level_category
" ""Children's Game""",Kids
Abstract Strategy,Strategy
Action / Dexterity,Action
Adventure,Action
Age of Reason,History
American West,History
Ancient,History
Animals,
Arabian,
Aviation / Flight,
Bluffing,
Card Game,Card
City Building,
Civil War,War
Civilization,
Collectible Components,
Comic Book / Strip, 
Deduction,
Dice,Dice
Economic, 
Educational,
Electronic,
Environmental,
Expansion for Base-game,
Exploration,Action
Fantasy,Fantasy
Farming,
Fighting,Action
Game System,
Horror,Horror
Humor,
Industry / Manufacturing,
Mafia,
Math, 
Maze,Maze
Medical,
Medieval,History
Memory, 
Miniatures,
Modern Warfare,War
Movies / TV / Radio theme,
Murder/Mystery,
Music,Music
Mythology,History
Napoleonic,History
Nautical,
Negotiation,
Novel-based,
Number, 
Party Game,Party
Pirates,
Political,
Post-Napoleonic,History
Prehistoric,History
Print & Play, 
Puzzle,Puzzle
Racing,
Real-time,Real-time
Religious,
Renaissance,
Science Fiction,
Space Exploration,
Spies/Secret Agents,
Sports,
Territory Building, 
Trains,
Transportation,
Travel,
Trivia,Trivia
Video Game Theme, 
Wargame,War
Word Game,
World War II,History
Zombies,