mechanic,high_level_mechanic
Acting,
Action Drafting,
Action Points,
Action Queue,
Action Retrieval,
Action Timer,
Action/Event,
Advantage Token,
Alliances,Politics
Area Majority / Influence,Politics
Area Movement,
Area-Impulse,
Auction Compensation,Betting
Auction: Dutch,Betting
Auction: English,Betting
Auction: Fixed Placement,Betting
Auction: Multiple Lot,Betting
Auction: Sealed Bid,Betting
Auction: Turn Order Until Pass,Betting
Auction/Bidding,Betting
Automatic Resource Growth,
Betting and Bluffing,Betting
Bias,
Bids As Wagers,
Bingo,Chance
Bribery,Negotiation
Campaign / Battle Card Driven,
Card Play Conflict Resolution,
Catch the Leader,
Chaining,
Chit-Pull System,
Closed Drafting,
Command Cards,
Commodity Speculation,
Communication Limits,
Connections,
Constrained Bidding,
Contracts,
Cooperative Game,Co-op
Deck Construction,Deck building
"Deck, Bag, and Pool Building",Deck building
Deduction,
Delayed Purchase,
Dice Rolling,Chance
Die Icon Resolution,Chance
Different Dice Movement,Chance
Drawing,Drawing
Elapsed Real Time Ending,
Enclosure,
End Game Bonuses,
Events,
Finale Ending,
Flicking,
Follow,
Force Commitment,
Grid Coverage,
Grid Movement,
Hand Management,
Hexagon Grid,
Hidden Movement,
Hidden Roles,
Hidden Victory Points,
Highest-Lowest Scoring,
Hot Potato,
"I Cut, You Choose",
Impulse Movement,
Income,
Increase Value of Unchosen Resources,
Interrupts,
Investment,
Kill Steal,
King of the Hill,
Ladder Climbing,
Layering,
Legacy Game,
Line Drawing,
Line of Sight,
Loans,
Lose a Turn,
Mancala,
Map Addition,
Map Deformation,
Map Reduction,
Market,
Matching,
Measurement Movement,
Melding and Splaying,
Memory,Memory
Modular Board,
Move Through Deck,
Movement Points,
Moving Multiple Units,
Multi-Use Cards,
Multiple Maps,
Narrative Choice / Paragraph,
Negotiation,Negotiation
Neighbor Scope,
Network and Route Building,
Once-Per-Game Abilities,
Open Drafting,
Order Counters,
Ordering,
Ownership,
Paper-and-Pencil,
Passed Action Token,
Pattern Building,
Pattern Movement,
Pattern Recognition,
Physical Removal,
Pick-up and Deliver,
Pieces as Map,
Player Elimination,
Player Judge,
Point to Point Movement,
Predictive Bid,
Prisoner's Dilemma,
Programmed Movement,
Push Your Luck,
Questions and Answers,
Race,Race
Random Production,
Re-rolling and Locking,
Real-Time,Real-time
Relative Movement,
Resource Queue,
Resource to Move,
Rock-Paper-Scissors,Chance
Role Playing,Role play
Roles with Asymmetric Information,Asymmetric
Roll / Spin and Move,Chance
Rondel,
Scenario / Mission / Campaign Game,
Score-and-Reset Game,
Secret Unit Deployment,
Selection Order Bid,
Semi-Cooperative Game,
Set Collection,
Simulation,
Simultaneous Action Selection,
Single Loser Game,
Slide/Push,
Solo / Solitaire Game,Solo
Speed Matching,
Spelling,
Square Grid,
Stacking and Balancing,
Stat Check Resolution,
Static Capture,
Stock Holding,
Storytelling,
Sudden Death Ending,
Tags,
Take That,
Targeted Clues,
Team-Based Game,Team
Tech Trees / Tech Tracks,
Tile Placement,
Track Movement,
Trading,Trading
Traitor Game,
Trick-taking,
Tug of War,
Turn Order: Auction,
Turn Order: Claim Action,
Turn Order: Pass Order,
Turn Order: Progressive,
Turn Order: Role Order,
Turn Order: Stat-Based,
Turn Order: Time Track,
Variable Phase Order,
Variable Player Powers,
Variable Set-up,
Victory Points as a Resource,
Voting,Politics
Worker Placement,
Worker Placement with Dice Workers,
"Worker Placement, Different Worker Types",
Zone of Control,